Poblacion,Estado,Tipo,Concesionario/Permisionario,Distintivo,Banda,Frecuencia (kHz),Potencia Diurna y Nocturna,Inicio,Fin,Latitud,Longitud,Altitud,
SAN LUIS POTOSÍ,S.L.P.,(C),"CONTROLADORA DE MEDIOS, S.A. DE C.V.",XEBM,AM,820,10 -D  1 -N,03/07/04,02/07/16,220859,1005830,1864,
SOLEDAD DE GRACIANO SÁNCHEZ,S.L.P.,(C),"CADENA RADIODIFUSORA MEXICANA, S.A. DE C.V.",XEWA,AM,540,150 -D      150 -N,04/07/03,03/07/15,221059,1005627,1849,
SOLEDAD DE GRACIANO SÁNCHEZ,S.L.P.,(P),UNIVERSIDAD AUTÓNOMA DE SAN LUIS POTOSÍ,XEXQ,AM,1190,25 -D  1 -N,22/09/62,N.D.,221059,1005627,1849,
TANCANHUITZ DE SANTOS,S.L.P.,(P),COMISIÓN NACIONAL PARA EL DESARROLLO DE LOS PUEBLOS INDÍGENAS,XEANT,AM,770,10 -D  N.A. ,12/06/89,ND,213544,985800,218,
CHAMETLA,SIN.,(C),MANUEL FRANCISCO PÉREZ MUÑOZ,XEHW,AM,600,5 -D  1 -N,03/07/04,02/07/16,225239,1055727,9,
CULIACÁN,SIN.,(C),"AMPLITUD MODULADA 710, S.A.",XEBL,AM,710,5 -D  0.25 -N,03/07/04,02/07/16,244731,1072353,64,
CULIACÁN,SIN.,(C),"XECSI-AM, S.A. DE C.V.",XECSI,AM,750,5 -D  0.25 -N,15/03/06,14/03/18,244731,1072353,64,
CULIACÁN,SIN.,(C),"MEGA FRECUENCIA, S.A. DE C.V.",XENW,AM,860,1 -D  0.25 -N,04/07/04,03/07/16,244731,1072353,64,
CULIACÁN,SIN.,(P),UNIVERSIDAD AUTÓNOMA DE SINALOA,XEUAS,AM,1150,10 -D  0.125 -N,03/12/73,N.D.,244731,1072353,64,
GUASAVE,SIN.,(C),"RADIODIFUSORES POR TRADICIÓN, S.A. DE C.V.",XEGS,AM,610,6 -D  1 -N,10/12/08,09/12/20,253424,1082813,20,
LOS MOCHIS,SIN.,(C),"RADIODIFUSORA XEHS, S.A. DE C.V.",XEHS,AM,540,5 -D  2.5 -N,04/07/04,03/07/16,254737,1085949,12,
MAZATLÁN,SIN.,(C),"FÓRMULA RADIOFÓNICA, S.A. DE C.V.",XEACE,AM,1470,1 -D  0.1 -N,27/11/08,26/11/20,240631,1070744,0,
MAZATLÁN,SIN.,(C),"RADIO EMISORA OCCIDENTAL, S.A.",XEOPE,AM,630,1 -D  0.25 -N,27/05/10,26/05/20,240631,1070744,0,
MAZATLÁN,SIN.,(C),"RADIO XEVU, S.A. DE C.V.",XEVU,AM,720,1 -D  0.5 -N,19/02/07,18/02/19,240631,1070744,0,
CABORCA,SON.,(C),"RADIO PALACIOS, S.A. DE C.V.",XEUK,AM,570,0.5 -D  0.25 -N,23/08/09,22/08/21,304256,1120933,280,
CD. OBREGÓN,SON.,(C),"DIFUSIÓN RADIOFÓNICA DE CIUDAD OBREGÓN, S.A. DE C.V.",XEEB,AM,760,5 -D  1 -N,04/07/04,03/07/16,272921,1095606,33,
CD. OBREGÓN,SON.,(C),"RADIO CAJEME, S.A. DE C.V.",XEOX,AM,1430,5 -D  0.5 -N,04/07/04,03/07/16,272921,1095606,33,
